ID,SubCompanyID,SubCompanyName,LocationID,BranchCode,BranchFullName,LocationName,Code,SubCompanyNameVN,BranchFullNameVN,LocationNameVN
11,2,Vung 1,4,1,HNI - Ha Noi 01,Ha Noi,HNI,Vùng 1,HNI - Hà Nội 01,Hà Nội
21,2,Vung 1,4,2,HNI - Ha Noi 02,Ha Noi,HNI,Vùng 1,HNI - Hà Nội 02,Hà Nội
31,2,Vung 1,4,3,HNI - Ha Noi 03,Ha Noi,HNI,Vùng 1,HNI - Hà Nội 03,Hà Nội
41,2,Vung 1,4,4,HNI - Ha Noi 04,Ha Noi,HNI,Vùng 1,HNI - Hà Nội 04,Hà Nội
51,2,Vung 1,4,5,HNI - Ha Noi 05,Ha Noi,HNI,Vùng 1,HNI - Hà Nội 05,Hà Nội
61,2,Vung 1,4,6,HNI - Ha Noi 06,Ha Noi,HNI,Vùng 1,HNI - Hà Nội 06,Hà Nội
71,2,Vung 1,4,7,HNI - Ha Noi 07,Ha Noi,HNI,Vùng 1,HNI - Hà Nội 07,Hà Nội
81,2,Vung 1,4,8,HNI - Ha Noi 08,Ha Noi,HNI,Vùng 1,HNI - Hà Nội 08,Hà Nội
91,2,Vung 1,4,9,HNI - Ha Noi 09,Ha Noi,HNI,Vùng 1,HNI - Hà Nội 09,Hà Nội
101,2,Vung 1,4,10,HNI - Ha Noi 10,Ha Noi,HNI,Vùng 1,HNI - Hà Nội 10,Hà Nội
111,2,Vung 1,4,11,HNI - Ha Noi 11,Ha Noi,HNI,Vùng 1,HNI - Hà Nội 11,Hà Nội
151,42,Vung 5,8,1,HCM - Ho Chi Minh 01,Ho Chi Minh,HCM,Vùng 5,HCM - Hồ Chí Minh 01,Hồ Chí Minh
161,42,Vung 5,8,2,HCM - Ho Chi Minh 02,Ho Chi Minh,HCM,Vùng 5,HCM - Hồ Chí Minh 02,Hồ Chí Minh
171,42,Vung 5,8,3,HCM - Ho Chi Minh 03,Ho Chi Minh,HCM,Vùng 5,HCM - Hồ Chí Minh 03,Hồ Chí Minh
181,42,Vung 5,8,4,HCM - Ho Chi Minh 04,Ho Chi Minh,HCM,Vùng 5,HCM - Hồ Chí Minh 04,Hồ Chí Minh
191,42,Vung 5,8,5,HCM - Ho Chi Minh 05,Ho Chi Minh,HCM,Vùng 5,HCM - Hồ Chí Minh 05,Hồ Chí Minh
201,42,Vung 5,8,6,HCM - Ho Chi Minh 06,Ho Chi Minh,HCM,Vùng 5,HCM - Hồ Chí Minh 06,Hồ Chí Minh
271,12,Vung 2,240,0,BGG - Bac Giang ,Bac Giang,BGG,Vùng 2,BGG - Bắc Giang ,Bắc Giang
291,12,Vung 2,241,1,BNH - Bac Ninh 01,Bac Ninh,BNH,Vùng 2,BNH - Bắc Ninh 01,Bắc Ninh
311,12,Vung 2,26,0,CBG - Cao Bang ,Cao Bang,CBG,Vùng 2,CBG - Cao Bằng ,Cao Bằng
351,12,Vung 2,321,0,HYN - Hung Yen ,Hung Yen,HYN,Vùng 2,HYN - Hưng Yên ,Hưng Yên
371,12,Vung 2,20,0,LCI - Lao Cai ,Lao Cai,LCI,Vùng 2,LCI - Lào Cai ,Lào Cai
391,12,Vung 2,25,0,LSN - Lang Son ,Lang Son,LSN,Vùng 2,LSN - Lạng Sơn ,Lạng Sơn
411,12,Vung 2,210,0,PTO - Phu Tho ,Phu Tho,PTO,Vùng 2,PTO - Phú Thọ ,Phú Thọ
451,12,Vung 2,280,0,TNN - Thai Nguyen ,Thai Nguyen,TNN,Vùng 2,TNN - Thái Nguyên ,Thái Nguyên
471,12,Vung 2,27,0,TQG - Tuyen Quang ,Tuyen Quang,TQG,Vùng 2,TQG - Tuyên Quang ,Tuyên Quang
491,12,Vung 2,211,0,VPC - Vinh Phuc ,Vinh Phuc,VPC,Vùng 2,VPC - Vĩnh Phúc ,Vĩnh Phúc
511,12,Vung 2,29,0,YBI - Yen Bai ,Yen Bai,YBI,Vùng 2,YBI - Yên Bái ,Yên Bái
531,22,Vung 3,230,0,DBN - Dien Bien ,Dien Bien,DBN,Vùng 3,DBN - Điện Biên ,Điện Biên
551,22,Vung 3,218,0,HBH - Hoa Binh ,Hoa Binh,HBH,Vùng 3,HBH - Hòa Bình ,Hòa Bình
571,22,Vung 3,351,0,HNM - Ha Nam ,Ha Nam,HNM,Vùng 3,HNM - Hà Nam ,Hà Nam
611,22,Vung 3,39,0,HTH - Ha Tinh ,Ha Tinh,HTH,Vùng 3,HTH - Hà Tĩnh ,Hà Tĩnh
631,22,Vung 3,38,0,NAN - Nghe An ,Nghe An,NAN,Vùng 3,NAN - Nghệ An ,Nghệ An
651,22,Vung 3,30,0,NBH - Ninh Binh ,Ninh Binh,NBH,Vùng 3,NBH - Ninh Bình ,Ninh Bình
671,22,Vung 3,350,0,NDH - Nam Dinh ,Nam Dinh,NDH,Vùng 3,NDH - Nam Định ,Nam Định
691,22,Vung 3,22,0,SLA - Son La ,Son La,SLA,Vùng 3,SLA - Sơn La ,Sơn La
